nomelograd,logradouro,arvore,bancos,pontoonibu,pontotaxi,pontomotot,semaforo,trechos,faixapedes,comprimento,arvores_100m_median,bancos_100m_median,semaforos_100m_median,onibus_100m_median,arvores_100m_mean,bancos_100m_mean,semaforos_100m_mean,onibus_100m_mean,profissao,tipo_profissao,primeiro_nome,sobrenome
Rua Sem Denominação   48 1,700060,1,0,0,0,0,0,1,0,84,1.1904761904761905,0,0,0,1.1904761904761905,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   49 7,700061,8,0,0,0,0,0,7,0,458,1.6666666666666667,0,0,0,1.8895315513313296,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   50 2,700062,2,0,0,0,0,0,2,0,103,2.025963808025177,0,0,0,2.025963808025177,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   51 3,700063,2,0,0,0,0,0,2,0,111,1.83531746031746,0,0,0,1.83531746031746,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   52 1,700064,1,0,0,0,0,0,1,0,59,1.694915254237288,0,0,0,1.694915254237288,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   53 2,700065,2,0,0,0,0,0,2,0,98,2.048494983277592,0,0,0,2.048494983277592,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   54 3,700066,4,0,0,0,0,0,3,0,133,3.7735849056603774,0,0,0,3.4101349739341424,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   55 2,700067,3,0,0,0,0,0,2,0,120,2.7450416786432883,0,0,0,2.7450416786432883,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   56 1,700068,1,0,0,0,0,0,1,0,39,2.564102564102564,0,0,0,2.564102564102564,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   58 3,700070,3,0,0,0,0,0,3,0,153,1.7857142857142856,0,0,0,2.268806073153899,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   59 1,700071,1,0,0,0,0,0,1,0,103,0.9708737864077669,0,0,0,0.9708737864077669,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   64 1,700076,2,0,0,0,0,0,1,0,55,3.6363636363636362,0,0,0,3.6363636363636362,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   65 1,4243,1,0,0,0,0,0,1,0,43,2.3255813953488373,0,0,0,2.3255813953488373,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   65 1,20932,1,0,0,0,0,0,1,0,50,2,0,0,0,2,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   66 1,20893,4,0,0,0,0,0,2,0,99,4.479638009049774,0,0,0,4.479638009049774,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   66 1,700079,2,0,0,0,0,0,1,0,43,4.651162790697675,0,0,0,4.651162790697675,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   67 1,700080,2,0,0,0,0,0,1,0,43,4.651162790697675,0,0,0,4.651162790697675,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   68 1,700081,2,0,0,0,0,0,1,0,68,2.941176470588235,0,0,0,2.941176470588235,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   69 1,700085,2,0,0,0,0,0,1,0,62,3.225806451612903,0,0,0,3.225806451612903,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   70 2,700088,4,0,0,0,0,0,2,0,293,1.4842958459979738,0,0,0,1.4842958459979738,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   71 1,700089,8,0,0,0,0,0,3,0,271,2.8169014084507045,0,0,0,3.40480195492623,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   72 4,700094,8,0,0,0,0,0,4,0,184,4.449760765550239,0,0,0,4.546308954203691,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   73 1,700095,2,0,0,0,0,0,1,0,154,1.2987012987012987,0,0,0,1.2987012987012987,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   74 1,700096,1,0,0,0,0,0,1,0,95,1.0526315789473684,0,0,0,1.0526315789473684,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   75 4,700097,12,0,0,0,0,0,5,0,150,10,0,0,0,8.52113652113652,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   76 4,700101,6,0,0,0,0,0,3,0,156,3.8461538461538463,0,0,0,3.9662686004149417,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   77 4,700103,6,0,0,0,0,0,3,0,230,2.4096385542168677,0,0,0,2.739971744686255,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   78 9,700116,26,0,0,0,0,0,13,0,1282,3.1746031746031744,0,0,0,3.2438061853830678,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   79 3,700117,6,0,0,0,0,0,3,0,117,7.6923076923076925,0,0,0,5.128205128205129,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   80 1,700118,2,0,0,0,0,0,1,0,52,3.8461538461538463,0,0,0,3.8461538461538463,0,0,0,NA,NA,NA,NA
Rua Sem Denominação   81 1,700119,2,0,0,0,0,0,1,0,52,3.8461538461538463,0,0,0,3.8461538461538463,0,0,0,NA,NA,NA,NA
